Question,Option A,Option B,Option C,Option D,Correct Answer,Points
What determines the color of stars?,Their size,Their distance from Earth,Their composition,Their temperature,d,1
The Earth receives energy from the Sun through which heat transfer method?,Conduction,Convection,Radiation,Advection,c,1
What happens to the freezing point when salt is mixed with ice?,Increases,Remains the same,Decreases,Becomes zero,c,1
The lowest temperature at which a substance ignites is called:,Melting point,Boiling point,Ignition temperature,Flash point,c,1
How can two glass tumblers stuck together be separated?,By cooling both glasses,By putting the inner glass in hot water,By putting the outer glass in cold water,By putting the outer glass in hot water,d,1
What is the latent heat of ice?,100 Cal/gm,540 Cal/gm,80 Cal/gm,0 Cal/gm,c,1
What is the boiling point of water in the Fahrenheit scale?,0°F,100°F,32°F,212°F,d,1
What is the velocity of sound in air?,332 m/sec,343 m/sec,350 m/sec,330 m/sec,b,1
An object traveling faster than the speed of sound is said to be moving at what speed?,Hypersonic speed,Subsonic speed,Supersonic speed,Transonic speed,c,1
What heat transfer method does the Earth use to receive energy from the Sun?,Conduction,Convection,Radiation,Advection,c,1
What is the effect of mixing salt with ice on the freezing point?,Increases,Remains the same,Decreases,Becomes zero,c,1
What is the term for the lowest temperature at which a substance catches fire?,Melting point,Flash point,Ignition temperature,Boiling point,c,1
Which of the following is a good conductor of heat but a bad conductor of electricity?,Copper,Silver,Mica,Aluminum,c,1
What determines the quality of musical sound produced by a stringed instrument?,Amplitude of the sound,Frequency of the sound,Waveform of the sound,Intensity of the sound,c,1
What action can separate two glass tumblers stuck together (one inside the other)?,Cooling the outer glass in ice water,Applying pressure,Putting the outer glass in hot water,Putting the inner glass in hot water,c,1
What is the temperature at which water vapor in the air begins to condense?,Boiling point,Dew point,Freezing point,Sublimation point,b,1
What process results in cooling?,Conduction,Convection,Evaporation,Radiation,c,1
The process of vertical heating of the atmosphere is known as:,Conduction,Radiation,Advection,Convection,d,1
The rate of evaporation increases with the decrease of:,Temperature,Pressure,Humidity,Wind speed,c,1
In which heat engine is the carburetor commonly used?,Diesel engine,Steam engine,Petrol engine,Electric engine,c,1
Which of the following describes the descending order of energy of electromagnetic radiations?,Alpha > Beta > Gamma,Beta > Alpha > Gamma,Gamma > Alpha > Beta,Gamma > Beta > Alpha,d,1
Under which condition will wet clothes dry the fastest?,80% humidity and 20°C temperature,20% humidity and 60°C temperature,50% humidity and 40°C temperature,90% humidity and 10°C temperature,b,1
What is the safe temperature for keeping food fresh in a refrigerator?,0°C,10°C,4°C,20°C,c,1
What is the average normal human body temperature in Celsius?,40°C,39°C,37°C,35°C,c,1
The process of heat transfer in solids is known as:,Convection,Radiation,Conduction,Advection,c,1
What happens to the electric current during a short circuit?,Decreases slightly,Remains constant,Increases heavily,Becomes zero,c,1
Why is the density of water maximum at 4°C important for aquatic life?,It prevents the water from freezing completely.,It helps in faster evaporation.,It makes the water lighter.,It increases the oxygen level.,a,1
The text mentions which type of heat engine uses a carburetor?,Diesel engine,Steam engine,Petrol engine,Electric engine,c,1
"According to the text, what is the descending order of energy of electromagnetic radiations?",Beta > Gamma > Alpha,Alpha > Beta > Gamma,Gamma > Alpha > Beta,Gamma > Beta > Alpha,d,1
Heat transfer in solids is primarily known as:,Convection,Radiation,Conduction,Advection,c,1
What happens to the volume of water when its temperature is lowered from 9°C to 3°C?,Volume remains constant,Volume decreases,Volume increases,Volume will first decrease and then increase,d,1
Why does a bottle filled with water break when it freezes?,Because the glass contracts on freezing,Because water contracts on freezing,Because water expands on freezing,Due to the pressure exerted by the external environment,c,1
Why do humans feel troubled by humidity and heat?,Sweat evaporates too quickly,Sweat does not evaporate due to humidity,The body produces excess heat,The surrounding temperature decreases rapidly,b,1
Why does a fan provide a feeling of comfort in hot weather?,It lowers the surrounding temperature,It increases humidity,Our sweat evaporates at a slower rate,Our sweat evaporates at a faster rate,d,1
What happens to the width of a glass rod when its length increases due to being placed in steam?,Width decreases,Width remains the same,Width fluctuates,Width increases,d,1
What causes more severe burns?,Boiling water,Ice,Steam,Hot oil,c,1
"If an iron ball is heated, in which dimension will the maximum percentage increase occur?",Its length,Its surface area,Its diameter,Its volume,d,1
Why are cloudy nights warmer than clear sky nights?,Clouds absorb heat from the sun during the day,Clouds prevent radiation of heat from the earth and air,Clouds reflect heat back into space,Clouds generate their own heat,b,1
What is the function of a thermostat in a refrigerator?,To cool the refrigerator quickly,To heat the refrigerator,To maintain a uniform temperature,To defrost the refrigerator,c,1
"According to Newton's Law of Cooling, if it takes 1 minute for tea to cool from 90°C to 80°C, how long will it take to cool from 70°C to 60°C?",Less than one minute,Exactly one minute,More than one minute,It will cool instantaneously,c,1
"If the door of a refrigerator in a closed room is left open, what will happen to the room temperature?",Temperature will decrease,Temperature will remain the same,Temperature will fluctuate,Temperature will increase,d,1
"If a piece of iron is heated, what color does it typically turn to after light red?",Yellow,White,Blue,Orange,d,1
In which type of area is an air cooler most effective?,Humid areas,Coastal areas,Mountainous areas,Desert areas (dry areas),d,1
"If an iron ball is heated, in which parameter will the maximum percentage increase be observed?",Its surface area,Its density,Its radius,Its volume,d,1
"If a piece of iron is heated, it glows in which sequence of colors?",Red -> Yellow -> Orange -> White,Red -> Orange -> Yellow -> White,Yellow -> Red -> Orange -> White,Orange -> Red -> Yellow -> White,b,1
What is the effect on volume when ice melts?,Volume increases,Volume remains the same,Volume decreases,Volume fluctuates,c,1
"If an iron ball is heated, which property will experience the maximum percentage increase?",Its surface area,Its diameter,Its length,Its volume,d,1
"If a piece of iron is heated, which color does it turn to LAST in the sequence Red -> Orange -> Yellow -> White -> ?",Green,Black,Blue,Purple,c,1
What causes fat to separate from milk in a cream separator machine?,Gravitational force,Centripetal force,Electrostatic force,Centrifugal force,d,1
Which of Newton's laws of motion explains the flying of birds?,First law of motion,Second law of motion,Third law of motion,Law of gravitation,c,1
Absolute zero is the temperature at which:,Molecular motion of a gas increases,Molecular motion of a gas stops,Molecular motion of a gas accelerates,Molecular motion of a gas remains constant,b,1
The kinetic energy of a body is proportional to:,Its velocity,Its mass,Square root of its momentum,Square of its momentum,d,1
Why do two blocks of ice form one block when pressed together?,Because the melting point of ice increases with increase in pressure,Because the melting point of ice remains constant with increase in pressure,Because the melting point of ice decreases with increase in pressure,Because of adhesion between the ice blocks,c,1
What happens when two small drops of water merge into a large drop?,Energy is absorbed,Energy is released,Temperature decreases,No energy change,b,1
A clinical thermometer measures temperature in the range of:,0°C to 100°C,30°C to 50°C,35°C to 42°C,20°C to 30°C,c,1
What is the steam point on the Fahrenheit scale?,0°F,32°F,100°F,212°F,d,1
What is the boiling point of water at sea level?,0°C,32°C,100°C,212°C,c,1
Approximately how many Kelvin is equal to 30° Celsius?,243 Kelvin,273 Kelvin,303 Kelvin,333 Kelvin,c,1
The direction of heat flow between two bodies depends on:,Their mass,Their volume,Their temperature,Their density,c,1
Which of the following statements is INCORRECT about 'Absolute Zero'?,All molecular motion stops,Molecular motion in gases starts decreasing,It is equal to 0°K,It is equal to -273°C,b,1
0°K is equal to:,0°C,273°C,-273°C,100°C,c,1
What temperature range does a clinical thermometer typically measure?,0∘C to 100∘C,20∘C to 50∘C,35∘C to 42∘C,10∘C to 45∘C,c,1
Which of the following statements accurately describes 'Absolute zero'?,Molecular motion in gases accelerates,Molecular motion in gases starts increasing,All molecular motion stops,Molecular motion in gases remains constant,c,1
The flying of birds demonstrates which principle of Newton?,First law of motion,Second law of motion,Third law of motion,Law of gravitation,c,1
What ceases at absolute zero temperature?,Electron motion,Molecular motion of a solid,Molecular motion of a gas,Atomic vibration,c,1
What is the temperature range measured by a clinical thermometer?,0∘C to 100∘C,32∘C to 212∘C,35∘C to 42∘C,20∘C to 50∘C,c,1
How does the temperature behave at the boiling point of a liquid?,Temperature increases rapidly,Temperature decreases rapidly,Temperature remains constant,Temperature fluctuates,c,1
What determines the direction of heat flow between two bodies?,Their mass,Their volume,Their density,Their temperature,d,1
Which of the following occurs at 'Absolute zero'?,Molecular motion in gases starts increasing,Molecular motion in gases becomes violent,Molecular motion in gases starts decreasing / All molecular motion stops,Molecular motion in gases remains constant,c,1
